      73.0259      -49.8105
      78.4438      -49.9663
      83.6311      -50.2030
      87.5504      -50.2797
      90.8934      -50.3570
      89.9712      -49.5515
      89.3948      -48.0198
      89.3948      -46.4875
      90.2017      -44.8738
      90.8934      -43.4215
      90.8934      -42.0505
      90.7781      -41.0023
      92.2767      -40.3556
      86.9741      -39.7964
      81.2104      -39.8022
      77.2911      -40.1288
      74.6398      -40.6959
      73.7176      -41.0195
      74.7550      -41.8249
      74.8703      -43.7602
      74.9856      -45.8569
      74.1787      -47.8738
      73.0259      -49.8105
